Age	Conference	Date	Draft Year	Player	Position	Season	Team
24	NOVALUES	5-Mar-89	1986	ChuckPerson	SF	1988-1989	IndianaPacers
26	NOVALUES	26-Feb-89	1985	PatrickEwing	C	1988-1989	NewYorkKnicks
26	NOVALUES	19-Feb-89	1984	HakeemOlajuwon	C	1988-1989	HoustonRockets
25	NOVALUES	5-Feb-89	1986	RonHarper	SG	1988-1989	ClevelandCavaliers
29	NOVALUES	29-Jan-89	1981	TomChambers	PF	1988-1989	PhoenixSuns
25	NOVALUES	22-Jan-89	1985	ChrisMullin	SF	1988-1989	GoldenStateWarriors
26	NOVALUES	15-Jan-89	1984	MichaelJordan	SG	1988-1989	ChicagoBulls
28	NOVALUES	8-Jan-89	1983	DaleEllis	GF	1988-1989	SeattleSuperSonics
29	NOVALUES	1-Jan-89	1979	MagicJohnson	PG	1988-1989	LosAngelesLakers
26	NOVALUES	25-Dec-88	1983	ClydeDrexler	SG	1988-1989	PortlandTrailBlazers
35	NOVALUES	18-Dec-88	1976	RobertParish	C	1988-1989	BostonCeltics
26	NOVALUES	11-Dec-88	1985	MichaelAdams	PG	1988-1989	DenverNuggets
29	NOVALUES	4-Dec-88	1979	MagicJohnson	PG	1988-1989	LosAngelesLakers
26	NOVALUES	27-Nov-88	1985	PatrickEwing	C	1988-1989	NewYorkKnicks
26	NOVALUES	20-Nov-88	1984	MichaelJordan	SG	1988-1989	ChicagoBulls
26	NOVALUES	13-Nov-88	1984	HakeemOlajuwon	C	1988-1989	HoustonRockets
24	NOVALUES	22-Apr-90	1987	DavidRobinson	C	1989-1990	SanAntonioSpurs
30	NOVALUES	15-Apr-90	1979	MagicJohnson	PG	1989-1990	LosAngelesLakers
27	NOVALUES	8-Apr-90	1984	CharlesBarkley	PF	1989-1990	PhiladelphiaSixers
27	NOVALUES	1-Apr-90	1984	MichaelJordan	SG	1989-1990	ChicagoBulls
24	NOVALUES	25-Mar-90	1987	DavidRobinson	C	1989-1990	SanAntonioSpurs
23	NOVALUES	18-Mar-90	1987	KevinJohnson	PG	1989-1990	PhoenixSuns
24	NOVALUES	11-Mar-90	1988	RonySeikaly	C	1989-1990	MiamiHeat
27	NOVALUES	4-Mar-90	1984	HakeemOlajuwon	C	1989-1990	HoustonRockets
24	NOVALUES	25-Feb-90	1987	DavidRobinson	C	1989-1990	SanAntonioSpurs
30	NOVALUES	18-Feb-90	1981	TomChambers	PF	1989-1990	PhoenixSuns
23	NOVALUES	4-Feb-90	1989	TimHardaway	PG	1989-1990	GoldenStateWarriors
26	NOVALUES	28-Jan-90	1985	KarlMalone	PF	1989-1990	UtahJazz
27	NOVALUES	21-Jan-90	1984	AlvinRobertson	SG	1989-1990	MilwaukeeBucks
26	NOVALUES	14-Jan-90	1986	RonHarper	SG	1989-1990	LosAngelesClippers
29	NOVALUES	7-Jan-90	1982	TerryTeagle	SG	1989-1990	GoldenStateWarriors
26	NOVALUES	30-Dec-89	1985	KarlMalone	PF	1989-1990	UtahJazz
28	NOVALUES	24-Dec-89	1982	TerryCummings	PF	1989-1990	SanAntonioSpurs
26	NOVALUES	17-Dec-89	1985	ChrisMullin	SF	1989-1990	GoldenStateWarriors
27	NOVALUES	10-Dec-89	1984	MichaelJordan	SG	1989-1990	ChicagoBulls
27	NOVALUES	3-Dec-89	1985	PatrickEwing	C	1989-1990	NewYorkKnicks
27	NOVALUES	26-Nov-89	1983	ClydeDrexler	SG	1989-1990	PortlandTrailBlazers
27	NOVALUES	19-Nov-89	1984	JohnStockton	PG	1989-1990	UtahJazz
28	NOVALUES	12-Nov-89	1984	VernFleming	G	1989-1990	IndianaPacers
26	NOVALUES	21-Apr-91	1986	ScottSkiles	PG	1990-1991	OrlandoMagic
28	NOVALUES	14-Apr-91	1983	ClydeDrexler	SG	1990-1991	PortlandTrailBlazers
31	NOVALUES	7-Apr-91	1979	MagicJohnson	PG	1990-1991	LosAngelesLakers
28	NOVALUES	31-Mar-91	1983	ClydeDrexler	SG	1990-1991	PortlandTrailBlazers
25	NOVALUES	24-Mar-91	1988	MitchRichmond	SG	1990-1991	GoldenStateWarriors
25	NOVALUES	17-Mar-91	1987	KennySmith	PG	1990-1991	HoustonRockets
22	NOVALUES	10-Mar-91	1990	DennisScott	SF	1990-1991	OrlandoMagic
27	NOVALUES	3-Mar-91	1985	GeraldWilkins	SG	1990-1991	NewYorkKnicks
25	NOVALUES	24-Feb-91	1987	ReggieMiller	SG	1990-1991	IndianaPacers
22	NOVALUES	17-Feb-91	1990	LionelSimmons	SF	1990-1991	SacramentoKings
28	NOVALUES	3-Feb-91	1984	OtisThorpe	PF	1990-1991	HoustonRockets
28	NOVALUES	27-Jan-91	1985	MichaelAdams	PG	1990-1991	DenverNuggets
24	NOVALUES	20-Jan-91	1989	TimHardaway	PG	1990-1991	GoldenStateWarriors
34	NOVALUES	13-Jan-91	1977	BernardKing	SF	1990-1991	WashingtonBullets
31	NOVALUES	6-Jan-91	1982	DominiqueWilkins	SF	1990-1991	AtlantaHawks
31	NOVALUES	30-Dec-90	1982	RickyPierce	SG	1990-1991	MilwaukeeBucks
28	NOVALUES	23-Dec-90	1984	MichaelJordan	SG	1990-1991	ChicagoBulls
24	NOVALUES	16-Dec-90	1987	KevinJohnson	PG	1990-1991	PhoenixSuns
28	NOVALUES	9-Dec-90	1984	JohnStockton	PG	1990-1991	UtahJazz
